1785747272,0.58
1785747302,0.35
1785747603,0.99
1785747902,1.13
1785748203,1.14
1785748502,1.01
1785748802,1.11
1785749102,1.16
1785749403,1.02
1785749702,1.46
1785750003,1.11
1785750302,1.09
1785750602,40.08
1785750903,42.04
1785751204,22.64
1785751503,23.13
1785751802,40.79
1785752103,41.21
1785752402,41.04
1785752703,40.13
1785753002,40.09
1785753303,40.09
1785753602,40.06
1785753903,40.17
1785754203,40.13
1785754503,40.33
1785754804,40.27
1785755103,40.28
1785755403,40.02
1785755703,40.17
1785756002,40.10
1785756303,40.02
1785756603,40.06
1785756903,40.13
1785757203,40.11
1785757502,40.02
1785757803,40.03
1785758103,40.06
1785758403,40.03
1785758703,40.13
1785759003,40.01
1785759302,40.16
1785759602,40.08
1785759902,40.01
1785760202,40.02
1785760503,40.04
1785760803,40.04
1785761103,40.11
1785761404,40.01
1785761703,40.32
1785762002,40.39
1785762303,40.01
1785762603,40.06
1785762903,40.02
1785763202,40.03
1785763503,40.05
1785763802,40.10
1785764102,40.08
1785764402,40.06
1785764703,40.01
1785765006,40.03
1785765303,40.03
1785765603,40.02
1785765903,40.36
1785766203,40.13
1785766502,40.00
1785766803,40.20
1785767102,40.04
1785767403,40.00
1785767703,40.10
1785768003,40.14
1785768302,40.01
1785768603,40.07
1785768903,40.01
1785769202,40.00
1785769503,40.05
1785769802,40.04
1785770103,40.02
1785770402,40.10
1785770703,40.14
1785771002,40.02
1785771303,40.08
1785771603,40.05
1785771902,40.16
1785772202,40.21
1785772502,40.01
1785772802,40.03
1785773103,40.03
1785773403,40.16
1785773703,40.07
1785774002,40.06
1785774303,40.01
1785774602,40.09
1785774903,40.07
1785775203,40.10
1785775503,40.12
1785775803,40.13
1785776102,40.00
1785776405,40.13
1785776703,40.55
1785777003,40.04
1785777303,40.19
1785777603,40.03
1785777903,40.00
1785778203,40.12
1785778503,40.02
1785778803,40.10
1785779102,40.14
1785779403,40.03
1785779703,40.03
1785780003,40.05
1785780302,40.06
1785780603,40.07
1785780902,40.07
1785781202,40.07
1785781502,40.08
1785781803,40.19
1785782103,40.02
1785782403,40.52
1785782703,40.13
1785783003,40.09
1785783303,40.11
1785783602,40.02
1785783903,40.01
1785784203,40.04
1785784502,40.07
1785784803,40.06
1785785103,40.09
1785785403,40.02
1785785703,40.22
1785786003,40.08
1785786303,40.01
1785786603,40.16
1785786902,40.21
1785787203,40.00
1785787502,40.04
1785787803,40.08
1785788103,40.00
1785788403,40.06
1785788703,40.08
1785789002,40.01
1785789303,40.02
1785789603,40.01
1785789902,40.41
1785790203,40.10
1785790503,40.07
1785790803,40.14
1785791102,40.09
1785791403,40.00
1785791702,40.16
1785792003,40.01
1785792302,40.02
1785792603,40.02
1785792902,40.10
1785793203,40.13
1785793502,40.04
1785793803,40.05
1785794103,40.04
1785794403,40.02
1785794703,40.01
